node,dx,dy,tile,px,py,c_o,dim,time
8,32,8,3535,8,4,o,2,0.348
8,32,8,3535,8,4,c,1,0.368
8,64,4,141,16,2,o,1,0.079
8,64,4,141,16,2,o,2,0.07
8,64,4,141,8,4,c,1,0.099
8,64,4,282,16,2,o,1,0.08
8,64,4,282,16,2,o,2,0.07
8,64,4,282,8,4,c,1,0.098
8,64,4,707,16,2,o,1,0.08
8,64,4,707,16,2,o,2,0.07
8,64,4,707,8,4,c,1,0.098
8,64,4,1414,16,2,o,1,0.096
8,64,4,1414,16,2,o,2,0.087
8,64,4,1414,8,4,c,1,0.116
8,64,4,2121,16,2,o,1,0.194
8,64,4,2121,16,2,o,2,0.19
8,64,4,2121,8,4,c,1,0.213
8,64,4,2828,16,2,o,1,0.243
8,64,4,2828,16,2,o,2,0.2315
8,64,4,2828,8,4,c,1,0.286
8,64,4,3535,16,2,o,1,0.35
8,64,4,3535,16,2,o,2,0.336
8,64,4,3535,8,4,c,1,0.404
8,128,2,141,32,1,o,1,0.054
8,128,2,141,8,4,c,1,0.099
8,128,2,282,32,1,o,1,0.055
8,128,2,282,8,4,c,1,0.098
8,128,2,707,32,1,o,1,0.055
8,128,2,707,8,4,c,1,0.097
8,128,2,1414,32,1,o,1,0.078
8,128,2,1414,8,4,c,1,0.142
8,128,2,2121,32,1,o,1,0.191
8,128,2,2121,8,4,c,1,0.247
8,128,2,2828,32,1,o,1,0.221
8,128,2,2828,8,4,c,1,0.344
8,128,2,3535,32,1,o,1,0.325
8,128,2,3535,8,4,c,1,0.514
8,256,1,141,32,1,o,1,0.054
8,256,1,141,8,4,c,1,0.098
8,256,1,282,32,1,o,1,0.055
8,256,1,282,8,4,c,1,0.098
8,256,1,707,32,1,o,1,0.055
8,256,1,707,8,4,c,1,0.109
8,256,1,1414,32,1,o,1,0.077
8,256,1,1414,8,4,c,1,0.198
8,256,1,2121,32,1,o,1,0.191
8,256,1,2121,8,4,c,1,0.402
8,256,1,2828,32,1,o,1,0.222
8,256,1,2828,8,4,c,1,0.745
8,256,1,3535,32,1,o,1,0.3285
8,256,1,3535,8,4,c,1,1.128
16,1,256,400,1,64,o,1,0.061
16,1,256,400,8,8,c,1,0.104
16,1,256,200,1,64,o,1,0.062
16,1,256,200,8,8,c,1,0.105
16,1,256,1000,1,64,o,1,0.06
16,1,256,1000,8,8,c,1,0.103
16,1,256,2000,1,64,o,1,0.085
16,1,256,2000,8,8,c,1,0.127
16,1,256,3000,1,64,o,1,0.143
16,1,256,3000,8,8,c,1,0.1975
16,1,256,4000,1,64,o,1,0.225
16,1,256,4000,8,8,c,1,0.302
16,2,128,400,1,64,o,1,0.061
16,2,128,400,8,8,c,1,0.104
16,2,128,200,1,64,o,1,0.062
16,2,128,200,8,8,c,1,0.105
16,2,128,1000,1,64,o,1,0.06
16,2,128,1000,8,8,c,1,0.1025
16,2,128,2000,1,64,o,1,0.086
16,2,128,2000,8,8,c,1,0.115
16,2,128,3000,1,64,o,1,0.143
16,2,128,3000,8,8,c,1,0.18
16,2,128,4000,1,64,o,1,0.226
16,2,128,4000,8,8,c,1,0.27
16,4,64,400,2,32,o,1,0.076
16,4,64,400,8,8,c,1,0.105
16,4,64,200,2,32,o,1,0.077
16,4,64,200,8,8,c,1,0.106
16,4,64,1000,2,32,o,1,0.076
16,4,64,1000,8,8,c,1,0.103
16,4,64,2000,2,32,o,1,0.094
16,4,64,2000,8,8,c,1,0.111
16,4,64,3000,2,32,o,1,0.154
16,4,64,3000,8,8,c,1,0.175
16,4,64,4000,2,32,o,1,0.236
16,4,64,4000,8,8,c,1,0.262
16,8,32,400,4,16,o,1,0.098
16,8,32,400,4,16,o,2,0.089
16,8,32,400,8,8,c,1,0.105
16,8,32,200,4,16,o,1,0.099
16,8,32,200,4,16,o,2,0.09
16,8,32,200,8,8,c,1,0.106
16,8,32,1000,4,16,o,1,0.0975
16,8,32,1000,4,16,o,2,0.088
16,8,32,1000,8,8,c,1,0.103
16,8,32,2000,4,16,o,1,0.109
16,8,32,2000,4,16,o,2,0.106
16,8,32,2000,8,8,c,1,0.111
16,8,32,3000,4,16,o,1,0.17
16,8,32,3000,4,16,o,2,0.165
16,8,32,3000,8,8,c,1,0.172
16,8,32,4000,4,16,o,1,0.2555
16,8,32,4000,4,16,o,2,0.249
16,8,32,4000,8,8,c,1,0.258
16,16,16,200,8,8,o,1,0.105
16,16,16,200,8,8,o,2,0.101
16,16,16,200,8,8,c,1,0.1055
16,16,16,400,8,8,o,1,0.104
16,16,16,400,8,8,o,2,0.1005
16,16,16,400,8,8,c,1,0.105
16,16,16,1000,8,8,o,1,0.102
16,16,16,1000,8,8,o,2,0.1
16,16,16,1000,8,8,c,1,0.103
16,16,16,2000,8,8,o,1,0.112
16,16,16,2000,8,8,o,2,0.1085
16,16,16,2000,8,8,c,1,0.112
16,16,16,3000,8,8,o,1,0.175
16,16,16,3000,8,8,o,2,0.17
16,16,16,3000,8,8,c,1,0.174
16,16,16,4000,8,8,o,1,0.261
16,16,16,4000,8,8,o,2,0.2545
16,16,16,4000,8,8,c,1,0.2615
16,32,8,200,16,4,o,1,0.1105
16,32,8,200,16,4,o,2,0.089
16,32,8,200,8,8,c,1,0.105
16,32,8,400,16,4,o,1,0.11
16,32,8,400,16,4,o,2,0.088
16,32,8,400,8,8,c,1,0.105
16,32,8,1000,16,4,o,1,0.1095
16,32,8,1000,16,4,o,2,0.088
16,32,8,1000,8,8,c,1,0.103
16,32,8,2000,16,4,o,1,0.114
16,32,8,2000,16,4,o,2,0.104
16,32,8,2000,8,8,c,1,0.118
16,32,8,3000,16,4,o,1,0.179
16,32,8,3000,16,4,o,2,0.167
16,32,8,3000,8,8,c,1,0.1865
16,32,8,4000,16,4,o,1,0.2645
16,32,8,4000,16,4,o,2,0.25
16,32,8,4000,8,8,c,1,0.281
16,64,4,200,32,2,o,1,0.086
16,64,4,200,32,2,o,2,0.077
16,64,4,200,8,8,c,1,0.105
16,64,4,400,32,2,o,1,0.085
16,64,4,400,32,2,o,2,0.077
16,64,4,400,8,8,c,1,0.105
16,64,4,1000,32,2,o,1,0.084
16,64,4,1000,32,2,o,2,0.076
16,64,4,1000,8,8,c,1,0.103
16,64,4,2000,32,2,o,1,0.102
16,64,4,2000,32,2,o,2,0.094
16,64,4,2000,8,8,c,1,0.138
16,64,4,3000,32,2,o,1,0.1645
16,64,4,3000,32,2,o,2,0.155
16,64,4,3000,8,8,c,1,0.218
16,64,4,4000,32,2,o,1,0.251
16,64,4,4000,32,2,o,2,0.238
16,64,4,4000,8,8,c,1,0.328
16,128,2,200,64,1,o,1,0.061
16,128,2,200,8,8,c,1,0.105
16,128,2,400,64,1,o,1,0.061
16,128,2,400,8,8,c,1,0.105
16,128,2,1000,64,1,o,1,0.06
16,128,2,1000,8,8,c,1,0.109
16,128,2,2000,64,1,o,1,0.086
16,128,2,2000,8,8,c,1,0.184
16,128,2,3000,64,1,o,1,0.144
16,128,2,3000,8,8,c,1,0.287
16,128,2,4000,64,1,o,1,0.225
16,128,2,4000,8,8,c,1,0.533
16,256,1,200,64,1,o,1,0.061
16,256,1,200,8,8,c,1,0.105
16,256,1,400,64,1,o,1,0.061
16,256,1,400,8,8,c,1,0.107
16,256,1,1000,64,1,o,1,0.06
16,256,1,1000,8,8,c,1,0.1475
